region,date
Austria,03/10/20
Belgium,03/10/20
Denmark,03/12/20
France,03/13/20
Germany,03/06/20
Italy,03/09/20
Norway,03/12/20
Spain,03/09/20
Sweden,03/10/20
Switzerland,03/02/20
United Kingdom,03/12/20
US_AL,04/04/20
US_AK,03/28/20
US_AZ,03/31/20
US_CA,03/19/20
US_CO,03/26/20
US_CT,03/23/20
US_DE,03/24/20
US_DC,04/01/20
US_FL,04/03/20
US_GA,04/03/20
US_HI,03/25/20
US_ID,03/25/20
US_IL,03/21/20
US_IN,03/24/20
US_KS,03/30/20
US_KY,03/26/20
US_LA,03/23/20
US_ME,04/02/20
US_MD,03/30/20
US_MA,03/24/20
US_MI,03/24/20
US_MN,03/27/20
US_MS,04/03/20
US_MO,04/06/20
US_MT,03/28/20
US_NV,04/01/20
US_NH,03/27/20
US_NJ,03/21/20
US_NM,03/24/20
US_NY,03/22/20
US_NC,03/30/20
US_OH,03/23/20
US_OK,03/25/20
US_OR,03/23/20
US_PA,04/01/20
US_PR,03/15/20
US_RI,03/28/20
US_SC,04/07/20
US_TN,03/31/20
US_TX,04/02/20
US_UT,03/27/20
US_VT,03/25/20
US_VA,03/30/20
US_WA,03/23/20
US_WV,03/24/20
US_WI,03/25/20
US_WY,03/28/20