Region,Model,Mean CAR (week=0),CI lower,CI upper,Mean CAR current,CI lower,CI upper,delta weeks,Mean WAIC
US,fulllinearmodel,1.9868,0.0179,5.9937,0.0309,0.0001,0.5536,10,2113.83
US_AK,fulllinearmodel,0.0869,0.0218,0.5427,0.2127,0.0384,0.7682,3,380.57
US_AR,fulllinearmodel,0.0604,0.0173,0.3067,0.1465,0.0266,0.5913,4,651.4
US_AZ,fulllinearmodel,0.0533,0.0153,0.3162,0.1034,0.0154,0.5326,4,702.4
US_DC,fulllinearmodel,0.0517,0.0151,0.283,0.1111,0.0172,0.5515,4,674.54
US_DE,fulllinearmodel,0.0596,0.0161,0.3833,0.1111,0.0162,0.5771,4,611.75
US_GU,fulllinearmodel,0.0956,0.0211,0.5069,0.2702,0.0349,0.8323,3,320.9
US_HI,fulllinearmodel,0.0684,0.0174,0.3512,0.1537,0.0235,0.6255,3,479.39
US_IA,fulllinearmodel,0.0523,0.0151,0.3025,0.0931,0.0141,0.4858,4,680.52
US_KY,fulllinearmodel,0.0512,0.0144,0.3287,0.0675,0.0104,0.4298,4,645.72
US_MD,fulllinearmodel,0.0502,0.0145,0.3194,0.0746,0.0121,0.4349,4,840.32
US_ME,fulllinearmodel,0.0797,0.0231,0.398,0.2195,0.0464,0.7098,3,546.71
US_MI,fulllinearmodel,0.0613,0.0179,0.3389,0.2076,0.034,0.7237,5,1182.76
US_MN,fulllinearmodel,0.0687,0.0197,0.3288,0.2284,0.0422,0.714,4,776.14
US_MT,fulllinearmodel,0.06,0.0156,0.3486,0.1111,0.0151,0.569,3,427.87
US_ND,fulllinearmodel,0.103,0.0283,0.4928,0.2597,0.0585,0.7477,3,428.63
US_NH,fulllinearmodel,0.0531,0.0151,0.2989,0.0966,0.0132,0.5019,4,572.08
US_NJ,fulllinearmodel,0.054,0.016,0.2825,0.1403,0.0216,0.6277,4,1150.61
US_NM,fulllinearmodel,0.0575,0.0161,0.4005,0.1023,0.0143,0.5587,4,579.31
US_NY,fulllinearmodel,0.0536,0.0155,0.2978,0.1909,0.0273,0.7603,5,1563.98
US_OK,fulllinearmodel,0.061,0.0162,0.3358,0.1349,0.0217,0.617,3,668.83
US_RI,fulllinearmodel,0.0841,0.0205,0.9209,0.1487,0.023,0.8801,4,645.83
US_SD,fulllinearmodel,0.0476,0.0133,0.3454,0.0423,0.0077,0.271,4,542.27
US_TN,fulllinearmodel,0.056,0.0163,0.2895,0.1474,0.0239,0.6163,4,862.29
US_TX,fulllinearmodel,0.0499,0.0145,0.303,0.0725,0.0119,0.4303,4,940.2
US_UT,fulllinearmodel,0.0823,0.0208,0.6219,0.2293,0.0362,0.8378,4,603.59
US_VA,fulllinearmodel,0.0676,0.0179,0.5462,0.1304,0.0179,0.7007,4,754.02
US_VI,fulllinearmodel,0.1118,0.0178,1.0542,0.1813,0.0142,1.0576,2,205.07
US_VT,fulllinearmodel,0.0831,0.0208,0.5289,0.2225,0.0386,0.7888,3,460.52
US_WV,fulllinearmodel,0.0724,0.0182,0.4957,0.1291,0.02,0.6531,3,430.01
US_WY,fulllinearmodel,0.0702,0.0178,0.4133,0.1456,0.0211,0.6583,3,392.79
Afghanistan,fulllinearmodel,0.0743,0.0167,1.1481,0.0968,0.0131,0.9366,4,482.74
Albania,fulllinearmodel,0.156,0.0437,0.6824,0.4354,0.1063,0.8771,4,547.17
Algeria,fulllinearmodel,0.1018,0.0198,1.0249,0.2173,0.0279,0.9279,5,908.4
Andorra,fulllinearmodel,0.079,0.0198,0.5049,0.1308,0.0228,0.6343,3,511.18
Antigua and Barbuda,fulllinearmodel,0.2236,0.0225,1.2939,0.3638,0.0161,1.2598,2,108.72
Argentina,fulllinearmodel,0.0551,0.0134,0.3341,0.1054,0.0162,0.6443,4,809.14
Armenia,fulllinearmodel,0.1618,0.0383,0.6,0.3545,0.0898,0.8158,4,622.58
Austria,fulllinearmodel,0.0585,0.0139,0.4991,0.1448,0.0209,0.8053,6,1279.79
Azerbaijan,fulllinearmodel,0.0497,0.0127,0.3952,0.0423,0.0064,0.3497,5,648.5
Bahamas,fulllinearmodel,0.155,0.0216,1.316,0.2741,0.0154,1.2664,3,189.89
Bahrain,fulllinearmodel,0.0626,0.0176,0.3573,0.0814,0.0144,0.3957,6,873.29
Bangladesh,fulllinearmodel,0.0423,0.0104,0.3705,0.0275,0.0006,0.2255,4,486.79
Barbados,fulllinearmodel,0.1685,0.0285,1.0873,0.3467,0.0317,1.0398,3,234.71
Belarus,fulllinearmodel,0.0467,0.0123,0.3235,0.0363,0.0044,0.2674,5,609.55
Belgium,fulllinearmodel,0.1121,0.0291,0.6184,0.3792,0.0712,0.8835,5,1394.64
Benin,fulllinearmodel,0.185,0.0223,1.3543,0.295,0.0147,1.3088,2,130.58
Bolivia,fulllinearmodel,0.1047,0.0225,1.1064,0.1609,0.0241,0.9492,4,412.32
Bosnia and Herzegovina,fulllinearmodel,0.0574,0.014,0.4261,0.1167,0.0166,0.6737,5,642.84
Brazil,fulllinearmodel,0.1271,0.0278,0.9413,0.1894,0.0374,0.8894,5,1107.31
Brunei,fulllinearmodel,0.155,0.0282,0.6191,0.3673,0.0414,0.8995,4,365.92
Bulgaria,fulllinearmodel,0.0846,0.0189,0.4625,0.194,0.0352,0.7353,4,581.21
Burkina Faso,fulllinearmodel,0.0987,0.0243,0.4789,0.1931,0.0401,0.6574,3,529.67
Burma,fulllinearmodel,0.0653,0.0124,0.8373,0.0686,0.0026,0.8434,2,162.02
Cabo Verde,fulllinearmodel,0.1476,0.017,1.2396,0.2229,0.0077,1.2081,2,107.68
Cameroon,fulllinearmodel,0.1496,0.0253,0.9584,0.2699,0.0397,0.9265,3,425.33
Chile,fulllinearmodel,0.0525,0.0123,0.3175,0.1169,0.0161,0.6634,5,982.69
China,fulllinearmodel,0.0772,0.0274,0.1876,0.1484,0.018,0.5819,11,3090.62
Colombia,fulllinearmodel,0.1306,0.0289,0.6583,0.2867,0.0612,0.8399,4,717.07
Congo (Brazzaville),fulllinearmodel,0.1174,0.0167,1.0922,0.1854,0.0082,1.0404,3,146.92
Congo (Kinshasa),fulllinearmodel,0.0989,0.0248,1.1551,0.1727,0.0312,0.9661,3,330.62
Costa Rica,fulllinearmodel,0.1002,0.022,0.8241,0.2145,0.0385,0.8562,4,509.19
Croatia,fulllinearmodel,0.0435,0.0094,0.2952,0.0671,0.0032,0.6133,6,753.84
Cuba,fulllinearmodel,0.0696,0.0148,1.1181,0.0986,0.0138,0.9011,4,484.75
Cyprus,fulllinearmodel,0.1574,0.0328,0.8806,0.3174,0.0656,0.9026,4,519.34
Czechia,fulllinearmodel,0.0631,0.0155,0.5009,0.1523,0.0259,0.7629,5,948.07
Denmark,fulllinearmodel,0.068,0.0119,0.4452,0.1969,0.0222,0.792,5,1099.74
Diamond Princess,fulllinearmodel,0.1203,0.0202,0.92,0.2939,0.0243,0.9926,9,471.34
Djibouti,fulllinearmodel,0.0912,0.0175,0.955,0.1163,0.0135,0.8842,2,283.74
Dominican Republic,fulllinearmodel,0.045,0.0071,0.3165,0.0709,0.0043,0.5902,4,718.65
Ecuador,fulllinearmodel,0.0371,0.0068,0.2982,0.0338,0.0007,0.4437,5,920.13
Egypt,fulllinearmodel,0.1203,0.032,0.9593,0.1992,0.0461,0.8758,4,860.21
El Salvador,fulllinearmodel,0.1152,0.0254,0.9804,0.1827,0.0333,0.9163,2,266.17
Estonia,fulllinearmodel,0.0804,0.0177,0.4901,0.1725,0.0299,0.713,4,661.66
Ethiopia,fulllinearmodel,0.0753,0.0157,1.173,0.0969,0.008,1.0247,3,237.25
Finland,fulllinearmodel,0.0921,0.0165,0.8567,0.1965,0.0254,0.8729,5,759.96
France,fulllinearmodel,0.065,0.0113,4.2191,0.0019,0.0002,0.2888,10,2029.96
Gabon,fulllinearmodel,0.0966,0.0156,1.1217,0.1309,0.0069,1.0547,2,173.62
Georgia,fulllinearmodel,0.1023,0.0243,1.1024,0.1863,0.0332,0.957,5,474.94
Germany,fulllinearmodel,0.1886,0.0204,3.1167,0.5543,0.0929,0.8775,10,2046.63
Ghana,fulllinearmodel,0.1273,0.0249,1.0393,0.2155,0.0294,0.9539,3,363.65
Greece,fulllinearmodel,0.0781,0.016,0.7091,0.2426,0.0328,0.887,6,841.61
Guatemala,fulllinearmodel,0.08,0.0173,1.1579,0.1078,0.01,0.9735,3,289.34
Guinea,fulllinearmodel,0.0962,0.0183,0.9837,0.1297,0.0157,0.9096,2,270.21
Guyana,fulllinearmodel,0.1941,0.0219,1.3411,0.3341,0.0143,1.301,3,169.55
Haiti,fulllinearmodel,0.1855,0.0217,1.3059,0.3022,0.0141,1.2702,2,160.7
Honduras,fulllinearmodel,0.0941,0.0174,0.9842,0.1811,0.0231,0.9165,4,401.78
Hungary,fulllinearmodel,0.0895,0.0178,0.7536,0.1705,0.0242,0.8286,5,685.34
Iceland,fulllinearmodel,0.1157,0.0259,0.5495,0.341,0.0671,0.8159,5,826.89
India,fulllinearmodel,0.1757,0.0425,0.9379,0.2644,0.0606,0.8829,5,980.94
Indonesia,fulllinearmodel,0.0407,0.0064,0.2876,0.0898,0.0077,0.6268,5,944.32
Iran,fulllinearmodel,0.0634,0.0165,0.3297,0.3029,0.0611,0.8288,7,2234.27
Iraq,fulllinearmodel,0.0987,0.0231,1.2301,0.2279,0.032,0.9598,6,872.37
Ireland,fulllinearmodel,0.1078,0.0224,0.9379,0.186,0.0316,0.8873,5,904.6
Israel,fulllinearmodel,0.062,0.0163,0.529,0.118,0.022,0.7455,5,1061.67
Italy,fulllinearmodel,0.0348,0.0078,1.6592,0.0095,0.001,0.2542,10,2483.54
Jamaica,fulllinearmodel,0.0586,0.0137,0.8009,0.0536,0.0038,0.7024,3,270.61
Japan,fulllinearmodel,0.0574,0.016,0.7158,0.0958,0.0114,0.742,10,1409.02
Jordan,fulllinearmodel,0.1338,0.0312,0.5616,0.312,0.0642,0.802,3,476.76
Kazakhstan,fulllinearmodel,0.1142,0.0299,0.9015,0.1818,0.0419,0.8456,4,573.44
Kenya,fulllinearmodel,0.095,0.0184,1.0271,0.166,0.0233,0.9306,3,359.24
"Korea, South",fulllinearmodel,0.0373,0.0091,0.4112,0.0437,0.0019,0.7222,9,1764.69
Kosovo,fulllinearmodel,0.0663,0.016,0.6583,0.0765,0.0101,0.6805,2,288.8
Kuwait,fulllinearmodel,0.075,0.0194,1.4713,0.1019,0.008,0.9491,6,740.2
Kyrgyzstan,fulllinearmodel,0.1218,0.0273,0.9843,0.2022,0.036,0.9091,3,370.32
Latvia,fulllinearmodel,0.1116,0.0213,0.8758,0.2399,0.0361,0.892,4,472.0
Lebanon,fulllinearmodel,0.0968,0.0184,0.8849,0.2829,0.0379,0.9175,5,620.74
Liberia,fulllinearmodel,0.1535,0.0242,1.0357,0.2323,0.0223,1.0162,1,133.39
Libya,fulllinearmodel,0.138,0.0171,1.1449,0.1919,0.0097,1.1205,1,150.37
Liechtenstein,fulllinearmodel,0.256,0.0277,1.1688,0.4751,0.0244,1.1544,3,170.11
Lithuania,fulllinearmodel,0.0974,0.0176,0.7177,0.2345,0.0359,0.8572,4,576.17
Luxembourg,fulllinearmodel,0.1088,0.0215,0.6806,0.3718,0.0639,0.9092,4,727.12
Malaysia,fulllinearmodel,0.0324,0.0118,0.1518,0.2013,0.0517,0.4803,10,1270.14
Mali,fulllinearmodel,0.1723,0.0414,0.9568,0.2812,0.0595,0.9227,2,252.01
Malta,fulllinearmodel,0.1094,0.0235,1.0903,0.1976,0.0304,0.9645,4,427.07
Mauritius,fulllinearmodel,0.1503,0.0299,0.8617,0.3072,0.0543,0.9008,3,360.36
Mexico,fulllinearmodel,0.0452,0.0115,0.3361,0.0389,0.0047,0.3289,5,864.65
Moldova,fulllinearmodel,0.1247,0.0304,0.9083,0.2016,0.0452,0.8709,4,623.05
Monaco,fulllinearmodel,0.119,0.0252,1.1534,0.2342,0.029,1.0379,3,241.94
Montenegro,fulllinearmodel,0.165,0.0346,0.9644,0.31,0.0602,0.9376,3,349.62
Morocco,fulllinearmodel,0.0892,0.0214,0.448,0.239,0.0505,0.8198,4,635.2
Netherlands,fulllinearmodel,0.0775,0.0179,0.5015,0.2171,0.038,0.8189,5,1269.55
New Zealand,fulllinearmodel,0.0333,0.0063,0.2817,0.0334,0.001,0.6073,5,653.49
Niger,fulllinearmodel,0.1207,0.0213,0.8783,0.1989,0.0268,0.8795,2,337.1
Nigeria,fulllinearmodel,0.1131,0.0295,0.5777,0.196,0.0457,0.6908,3,427.28
North Macedonia,fulllinearmodel,0.0871,0.0172,0.9187,0.1541,0.0209,0.8721,4,570.53
Norway,fulllinearmodel,0.081,0.0186,0.4832,0.25,0.046,0.8084,5,961.57
Oman,fulllinearmodel,0.0523,0.0134,0.462,0.0435,0.006,0.3943,6,603.71
Pakistan,fulllinearmodel,0.0424,0.0083,0.2906,0.0722,0.0018,0.5664,6,942.62
Panama,fulllinearmodel,0.1111,0.0267,0.7461,0.1936,0.0418,0.7924,4,682.39
Paraguay,fulllinearmodel,0.0827,0.0182,1.1909,0.1373,0.0177,0.983,4,333.78
Peru,fulllinearmodel,0.0765,0.0189,0.751,0.1046,0.0196,0.7024,4,924.1
Philippines,fulllinearmodel,0.1569,0.0351,0.6744,0.3659,0.0829,0.8523,4,870.97
Poland,fulllinearmodel,0.1143,0.0245,0.7872,0.2239,0.0437,0.8463,4,911.43
Portugal,fulllinearmodel,0.0635,0.0159,0.4873,0.1707,0.0305,0.8133,5,1097.47
Qatar,fulllinearmodel,0.1637,0.0326,0.9171,0.306,0.052,0.9203,5,800.16
Romania,fulllinearmodel,0.0481,0.0132,0.2907,0.089,0.0156,0.5805,5,970.94
Russia,fulllinearmodel,0.035,0.009,0.5657,0.0007,0.0,0.0846,9,1110.46
San Marino,fulllinearmodel,0.1074,0.0273,1.0114,0.2277,0.0435,0.9419,5,510.9
Saudi Arabia,fulllinearmodel,0.0666,0.0143,0.3939,0.1423,0.0198,0.6933,5,908.04
Senegal,fulllinearmodel,0.0513,0.0116,0.2939,0.1024,0.011,0.5669,5,510.48
Serbia,fulllinearmodel,0.1405,0.0342,1.0009,0.2243,0.0482,0.9172,4,678.22
Singapore,fulllinearmodel,0.0595,0.0155,0.4663,0.0103,0.0004,0.3641,11,1219.03
Slovakia,fulllinearmodel,0.1801,0.0399,0.9791,0.3293,0.0702,0.9437,4,528.2
Slovenia,fulllinearmodel,0.1276,0.0279,0.633,0.3719,0.0786,0.8814,5,690.18
Somalia,fulllinearmodel,0.0738,0.0116,0.8851,0.0778,0.0042,0.8913,1,116.42
South Africa,fulllinearmodel,0.1044,0.0184,0.7816,0.2486,0.0387,0.8771,4,660.21
Spain,fulllinearmodel,0.0574,0.0166,0.2901,0.2245,0.0487,0.7174,6,2003.88
Sri Lanka,fulllinearmodel,0.1843,0.0546,0.6587,0.3951,0.1095,0.8464,4,405.54
Sudan,fulllinearmodel,0.1364,0.0179,1.3064,0.1798,0.0119,1.2769,1,126.76
Sweden,fulllinearmodel,0.0924,0.0181,0.6374,0.2022,0.0303,0.8193,6,1116.42
Switzerland,fulllinearmodel,0.0598,0.0155,0.4103,0.1726,0.0287,0.7755,6,1491.72
Syria,fulllinearmodel,0.1673,0.0198,1.4306,0.2571,0.0124,1.389,2,126.15
Taiwan*,fulllinearmodel,0.0477,0.0138,0.3196,0.0858,0.0033,0.4869,10,728.39
Tanzania,fulllinearmodel,0.0675,0.0123,0.9953,0.0677,0.0018,0.9576,3,194.71
Thailand,fulllinearmodel,0.0413,0.0131,0.1553,0.2279,0.0453,0.5645,11,1122.5
Togo,fulllinearmodel,0.1071,0.0247,1.1809,0.2021,0.027,1.0369,3,263.9
Trinidad and Tobago,fulllinearmodel,0.1844,0.0328,0.7382,0.426,0.0615,0.9174,3,288.34
Tunisia,fulllinearmodel,0.1027,0.0194,0.898,0.2205,0.033,0.8925,4,529.14
Turkey,fulllinearmodel,0.0456,0.0075,0.2604,0.1207,0.0162,0.5238,3,1084.46
Ukraine,fulllinearmodel,0.084,0.0155,0.5367,0.1517,0.0234,0.7052,3,619.31
United Arab Emirates,fulllinearmodel,0.0398,0.0109,0.3589,0.0087,0.0003,0.2165,10,958.26
United Kingdom,fulllinearmodel,0.0347,0.0096,0.305,0.0063,0.0003,0.3005,9,1552.1
Uruguay,fulllinearmodel,0.154,0.0293,0.7441,0.3433,0.0579,0.8823,3,460.44
Uzbekistan,fulllinearmodel,0.0957,0.0228,1.1237,0.1316,0.0229,0.9294,3,464.71
Venezuela,fulllinearmodel,0.2692,0.0609,0.9011,0.532,0.1362,0.9535,3,378.83
West Bank and Gaza,fulllinearmodel,0.1038,0.022,1.1604,0.1788,0.017,0.9752,5,429.4
Zambia,fulllinearmodel,0.1976,0.0238,1.2957,0.3686,0.0178,1.2561,3,201.45
Zimbabwe,fulllinearmodel,0.1989,0.0212,1.3369,0.3157,0.0141,1.3001,2,123.39
