Region,Model,Mean R0,CI lower,CI upper,Mean R current,CI lower,CI upper,Mean WAIC
US,fulllinearmodel,1.5462,1.1497,4.9312,0.3608,0.1093,1.2094,2113.83
US_AK,fulllinearmodel,5.256,1.8734,14.2659,1.3436,0.6071,3.3842,380.57
US_AR,fulllinearmodel,4.7661,1.9889,10.5313,1.4812,0.5812,3.0512,651.4
US_AZ,fulllinearmodel,4.0445,1.791,8.7755,1.6007,0.4481,4.3138,702.4
US_DC,fulllinearmodel,3.8716,1.8442,8.1444,1.1331,0.4914,2.9321,674.54
US_DE,fulllinearmodel,3.9107,1.652,9.4114,2.0265,0.82,4.528,611.75
US_GU,fulllinearmodel,3.8251,1.6958,8.4344,0.4383,0.071,1.7476,320.9
US_HI,fulllinearmodel,3.9565,1.6643,10.1253,1.0715,0.4441,2.7111,479.39
US_IA,fulllinearmodel,3.5064,1.6037,7.6677,1.5093,0.5353,4.0306,680.52
US_KY,fulllinearmodel,3.3273,1.5438,7.2665,2.1142,0.6955,5.2027,645.72
US_MD,fulllinearmodel,3.7607,1.6958,8.0517,1.5764,0.5433,4.6568,840.32
US_ME,fulllinearmodel,6.6161,2.6191,14.9285,1.1358,0.4889,2.5634,546.71
US_MI,fulllinearmodel,4.9759,2.0833,11.1077,1.0627,0.1294,2.5841,1182.76
US_MN,fulllinearmodel,5.9664,2.4664,13.6714,1.1758,0.3232,2.9267,776.14
US_MT,fulllinearmodel,3.3942,1.5089,8.6476,1.0779,0.3262,3.1354,427.87
US_ND,fulllinearmodel,6.5415,2.2698,15.9199,1.2858,0.7367,3.2897,428.63
US_NH,fulllinearmodel,3.6193,1.6144,8.1354,1.4984,0.4536,3.9403,572.08
US_NJ,fulllinearmodel,5.3574,2.3642,11.4537,1.3133,0.3016,3.8708,1150.61
US_NM,fulllinearmodel,3.6123,1.5824,8.6551,1.9182,0.7207,4.4042,579.31
US_NY,fulllinearmodel,4.7076,2.1919,9.8206,0.745,0.1847,2.9313,1563.98
US_OK,fulllinearmodel,4.3157,1.848,10.3289,1.2562,0.5753,3.3204,668.83
US_RI,fulllinearmodel,4.4476,1.6745,12.7735,2.7091,1.407,5.5653,645.83
US_SD,fulllinearmodel,2.614,1.3433,5.4752,2.4113,1.2416,5.0663,542.27
US_TN,fulllinearmodel,4.8141,2.109,10.6641,1.2575,0.3179,3.5496,862.29
US_TX,fulllinearmodel,3.7375,1.6742,7.9548,1.8751,0.6012,5.2971,940.2
US_UT,fulllinearmodel,5.6647,2.1432,13.9614,1.6895,0.5038,4.4664,603.59
US_VA,fulllinearmodel,4.4436,1.7559,10.8041,2.5585,0.9551,5.5637,754.02
US_VI,fulllinearmodel,2.7864,1.1828,6.792,0.4435,0.0745,2.3893,205.07
US_VT,fulllinearmodel,5.6246,2.1564,14.3643,1.0837,0.3327,2.9533,460.52
US_WV,fulllinearmodel,4.1938,1.626,12.0353,2.2693,1.2421,4.8015,430.01
US_WY,fulllinearmodel,3.5734,1.4343,9.4933,1.0425,0.3749,2.6104,392.79
Afghanistan,fulllinearmodel,3.7387,1.437,16.225,2.5509,1.325,5.9598,482.74
Albania,fulllinearmodel,4.9566,1.8474,19.4881,3.2932,1.4455,8.9203,547.17
Algeria,fulllinearmodel,3.7662,1.6015,14.7461,2.8243,1.4408,6.0695,908.4
Andorra,fulllinearmodel,3.8093,1.2844,14.1235,2.5123,1.0636,9.3577,511.18
Antigua and Barbuda,fulllinearmodel,4.2107,1.2351,15.3476,2.7255,0.3982,11.9138,108.72
Argentina,fulllinearmodel,3.9751,1.8409,10.0197,3.6929,1.727,8.0312,809.14
Armenia,fulllinearmodel,8.4249,2.2899,25.6748,5.0687,1.5848,15.0695,622.58
Austria,fulllinearmodel,3.1519,1.6877,7.0005,2.8749,1.6382,5.7341,1279.79
Azerbaijan,fulllinearmodel,2.7627,1.3463,11.1116,2.4113,1.2523,4.8911,648.5
Bahamas,fulllinearmodel,3.9298,1.236,14.3376,2.3218,0.291,10.0093,189.89
Bahrain,fulllinearmodel,3.0184,1.2398,11.0483,1.6269,0.8475,2.9746,873.29
Bangladesh,fulllinearmodel,2.9425,1.3685,12.6675,2.6935,1.3099,6.0524,486.79
Barbados,fulllinearmodel,5.5826,1.4455,18.4469,3.0505,0.5314,12.2278,234.71
Belarus,fulllinearmodel,2.8127,1.3458,11.3203,2.5412,1.2783,5.2979,609.55
Belgium,fulllinearmodel,5.1634,2.1593,15.3355,3.7218,1.9224,7.8614,1394.64
Benin,fulllinearmodel,3.921,1.2309,14.2177,2.6778,0.4147,10.9925,130.58
Bolivia,fulllinearmodel,5.0565,1.5425,19.4927,2.6365,1.3467,7.7167,412.32
Bosnia and Herzegovina,fulllinearmodel,3.789,1.7375,10.4374,3.4701,1.647,7.4037,642.84
Brazil,fulllinearmodel,6.6259,1.9957,24.3728,3.525,1.6911,7.444,1107.31
Brunei,fulllinearmodel,4.6693,1.4114,14.2748,2.196,0.3263,6.3418,365.92
Bulgaria,fulllinearmodel,6.5315,2.1513,20.5065,4.4271,1.5577,10.9266,581.21
Burkina Faso,fulllinearmodel,5.2968,1.54,15.691,3.4682,1.2688,11.5862,529.67
Burma,fulllinearmodel,3.1268,1.2615,13.2117,2.7432,1.1895,11.2019,162.02
Cabo Verde,fulllinearmodel,4.07,1.2824,15.892,2.7328,0.4235,11.6725,107.68
Cameroon,fulllinearmodel,5.8944,1.8109,21.6014,4.0995,1.6029,14.5474,425.33
Chile,fulllinearmodel,4.4207,2.021,10.307,4.2381,1.9712,8.9488,982.69
China,fulllinearmodel,9.7208,4.2281,19.3681,0.6203,0.195,1.0108,3090.62
Colombia,fulllinearmodel,7.4289,2.1914,26.6488,5.5413,1.94,15.7971,717.07
Congo (Brazzaville),fulllinearmodel,4.3718,1.3651,17.1065,3.0149,0.7007,12.2968,146.92
Congo (Kinshasa),fulllinearmodel,4.6835,1.3365,15.549,2.7809,1.1433,10.6906,330.62
Costa Rica,fulllinearmodel,5.276,1.6351,18.6463,2.8878,1.32,8.1062,509.19
Croatia,fulllinearmodel,3.2691,1.6032,7.6664,3.0509,1.5676,6.3762,753.84
Cuba,fulllinearmodel,3.9793,1.5497,16.1537,3.2347,1.4729,9.6217,484.75
Cyprus,fulllinearmodel,7.4569,1.9354,24.602,3.2098,1.397,9.9112,519.34
Czechia,fulllinearmodel,4.2481,1.8709,10.1792,3.8686,1.7968,7.9508,948.07
Denmark,fulllinearmodel,6.3302,2.4358,17.7359,3.364,1.5996,7.1054,1099.74
Diamond Princess,fulllinearmodel,3.6956,1.3521,11.3247,0.3538,0.0165,1.2675,471.34
Djibouti,fulllinearmodel,4.5808,1.6263,17.7898,3.9271,1.5817,14.1686,283.74
Dominican Republic,fulllinearmodel,4.6558,1.9128,13.728,4.4252,1.8558,11.7386,718.65
Ecuador,fulllinearmodel,3.609,1.5408,10.1823,3.4016,1.5153,8.3181,920.13
Egypt,fulllinearmodel,5.4669,1.4845,17.4066,2.1327,1.2545,4.4324,860.21
El Salvador,fulllinearmodel,5.4095,1.5745,18.2774,3.893,1.4943,14.5503,266.17
Estonia,fulllinearmodel,5.0855,1.6772,17.5122,3.257,1.3978,8.089,661.66
Ethiopia,fulllinearmodel,3.2833,1.2698,13.6031,2.2438,0.9064,8.1712,237.25
Finland,fulllinearmodel,5.0976,1.8169,18.6964,2.725,1.3816,6.1314,759.96
France,fulllinearmodel,2.8542,1.1634,6.6364,0.487,0.0923,1.632,2029.96
Gabon,fulllinearmodel,3.9285,1.3485,15.5935,2.8327,0.8295,11.3512,173.62
Gambia,fulllinearmodel,5.0432,1.3243,18.8032,4.9567,1.3015,18.4679,16.53
Georgia,fulllinearmodel,5.3038,1.5192,16.1736,1.7787,1.107,3.6887,474.94
Germany,fulllinearmodel,1.4208,1.0635,2.8163,2.3988,0.5189,4.9309,2046.63
Ghana,fulllinearmodel,5.5819,1.5846,19.4839,3.0569,1.352,10.8741,363.65
Greece,fulllinearmodel,4.4822,1.8649,14.6002,2.6812,1.3786,5.3376,841.61
Guatemala,fulllinearmodel,3.6526,1.3353,15.0743,2.5587,1.2412,9.3453,289.34
Guinea,fulllinearmodel,4.7641,1.6213,18.2602,4.0486,1.582,14.4337,270.21
Guyana,fulllinearmodel,3.9525,1.231,13.829,1.7334,0.1684,7.5513,169.55
Haiti,fulllinearmodel,4.0737,1.2288,14.5368,2.3693,0.2935,10.1939,160.7
Honduras,fulllinearmodel,4.5151,1.6083,17.1328,3.0901,1.3841,9.154,401.78
Hungary,fulllinearmodel,5.5317,1.811,19.6645,3.0467,1.5008,7.1427,685.34
Iceland,fulllinearmodel,4.1618,1.7278,14.5327,2.9329,1.3841,6.123,826.89
India,fulllinearmodel,6.0825,1.7392,28.6216,3.0941,1.5587,6.0795,980.94
Indonesia,fulllinearmodel,6.725,2.7049,19.9314,4.4186,1.9974,9.1171,944.32
Iran,fulllinearmodel,8.1219,3.2412,17.9786,1.2447,0.7736,2.6337,2234.27
Iraq,fulllinearmodel,2.6453,1.272,10.3216,2.1014,1.2306,4.206,872.37
Ireland,fulllinearmodel,5.8438,1.7975,22.572,3.1402,1.5385,6.8266,904.6
Israel,fulllinearmodel,3.92,1.8298,9.9664,3.5625,1.7626,7.2656,1061.67
Italy,fulllinearmodel,4.4128,1.3966,9.31,0.5124,0.0833,0.9934,2483.54
Jamaica,fulllinearmodel,2.5931,1.2156,12.5189,2.0266,1.09,6.133,270.61
Japan,fulllinearmodel,3.2765,1.4367,8.1185,1.9948,1.2325,3.6788,1409.02
Jordan,fulllinearmodel,5.9466,1.8189,18.0486,4.2234,1.2374,13.3581,476.76
Kazakhstan,fulllinearmodel,5.8358,1.6119,20.1862,3.1407,1.4668,10.0755,573.44
Kenya,fulllinearmodel,4.5661,1.5654,16.3887,3.2641,1.4072,10.8592,359.24
"Korea, South",fulllinearmodel,3.1866,1.5685,5.9275,0.3557,0.0199,2.3833,1764.69
Kosovo,fulllinearmodel,2.8393,1.1794,12.4587,2.3783,1.0706,10.0957,288.8
Kuwait,fulllinearmodel,4.1686,1.3493,16.2004,1.6812,0.8365,3.1876,740.2
Kyrgyzstan,fulllinearmodel,5.6067,1.6176,18.8867,3.5697,1.4682,13.1043,370.32
Latvia,fulllinearmodel,5.4831,1.6639,18.8662,2.9306,1.2548,8.696,472.0
Lebanon,fulllinearmodel,4.7757,1.9135,17.5724,2.5021,1.2701,5.2348,620.74
Liberia,fulllinearmodel,5.5499,1.5447,18.2247,4.8053,1.4403,16.4913,133.39
Libya,fulllinearmodel,4.4415,1.3783,16.4387,3.6353,1.0882,14.1043,150.37
Liechtenstein,fulllinearmodel,5.163,1.3321,17.8761,2.1026,0.2096,9.4565,170.11
Lithuania,fulllinearmodel,5.7726,2.0762,20.2987,4.6507,1.7516,12.7356,576.17
Luxembourg,fulllinearmodel,6.2788,2.4947,18.1906,5.9355,2.3883,14.8258,727.12
Malaysia,fulllinearmodel,1.8269,1.1605,3.3772,1.6832,0.5279,3.3725,1270.14
Mali,fulllinearmodel,6.561,1.6811,21.1719,4.683,1.6042,17.5379,252.01
Malta,fulllinearmodel,5.3183,1.4752,17.7087,2.1296,1.1714,5.8107,427.07
Mauritius,fulllinearmodel,6.3041,1.6917,21.2365,4.165,1.4325,15.699,360.36
Mexico,fulllinearmodel,3.0962,1.426,10.3685,2.8695,1.3697,6.1037,864.65
Moldova,fulllinearmodel,6.5146,1.789,24.9998,3.4666,1.5974,10.078,623.05
Monaco,fulllinearmodel,4.803,1.356,14.5436,2.3882,0.5714,9.2833,241.94
Montenegro,fulllinearmodel,7.0535,1.8188,22.033,3.932,1.4181,14.8051,349.62
Morocco,fulllinearmodel,6.8236,2.4982,19.2799,6.159,2.2788,15.8027,635.2
Netherlands,fulllinearmodel,5.2645,2.23,15.167,3.7477,1.7675,7.6598,1269.55
New Zealand,fulllinearmodel,3.3173,1.5177,8.3407,3.2603,1.509,7.9717,653.49
Niger,fulllinearmodel,5.4965,1.7337,19.8508,4.7651,1.6925,16.9842,337.1
Nigeria,fulllinearmodel,5.8626,1.5608,17.9069,3.5474,1.4131,13.02,427.28
North Macedonia,fulllinearmodel,5.0846,1.6973,18.6581,3.0914,1.4701,7.7656,570.53
Norway,fulllinearmodel,5.4412,2.1951,17.2986,2.7525,1.4047,5.6115,961.57
Oman,fulllinearmodel,2.6409,1.3024,11.3117,2.1847,1.1739,4.3454,603.71
Pakistan,fulllinearmodel,3.7186,1.6392,9.6088,3.3731,1.5822,7.1691,942.62
Panama,fulllinearmodel,6.0504,1.7085,22.9115,3.4617,1.5363,11.2592,682.39
Paraguay,fulllinearmodel,3.9057,1.3273,14.4227,2.2192,1.1326,7.2713,333.78
Peru,fulllinearmodel,4.4531,1.6784,15.7611,3.2678,1.5298,7.4988,924.1
Philippines,fulllinearmodel,8.1191,2.3694,32.9272,4.6509,1.9379,11.2546,870.97
Poland,fulllinearmodel,6.0655,1.9327,24.3742,3.8274,1.7024,9.2302,911.43
Portugal,fulllinearmodel,5.2552,2.3427,12.2676,4.6919,2.1377,9.5284,1097.47
Qatar,fulllinearmodel,8.4788,2.2157,26.3975,2.3309,1.33,5.0226,800.16
Romania,fulllinearmodel,4.3264,2.0517,8.7836,4.1195,1.9991,8.0456,970.94
Russia,fulllinearmodel,2.6351,1.0899,6.8269,2.7419,1.2765,5.9992,1110.46
San Marino,fulllinearmodel,5.4013,1.4666,15.9724,1.3736,0.8657,3.1186,510.9
Saudi Arabia,fulllinearmodel,5.2149,2.0054,16.0505,3.9048,1.7281,8.6127,908.04
Senegal,fulllinearmodel,3.5063,1.668,9.2178,3.1528,1.495,6.7589,510.48
Serbia,fulllinearmodel,6.8024,1.7812,24.6652,3.2264,1.5418,9.022,678.22
Singapore,fulllinearmodel,3.8794,1.6743,8.944,1.8421,0.9505,3.5401,1219.03
Slovakia,fulllinearmodel,7.8064,1.9154,24.5877,2.6649,1.3354,7.7212,528.2
Slovenia,fulllinearmodel,7.6514,2.4395,24.3025,4.1828,1.6784,9.0603,690.18
Somalia,fulllinearmodel,4.2491,1.5683,16.8085,4.063,1.5486,15.2602,116.42
South Africa,fulllinearmodel,6.0643,2.1567,20.7182,4.4627,1.7385,11.1577,660.21
Spain,fulllinearmodel,5.2503,2.5715,9.8921,4.0846,2.1656,7.1411,2003.88
Sri Lanka,fulllinearmodel,7.9752,1.9626,22.211,2.4691,1.0573,10.3986,405.54
Sudan,fulllinearmodel,3.7811,1.2342,14.1191,3.1346,0.8156,12.2931,126.76
Sweden,fulllinearmodel,5.9168,1.9348,20.7756,2.5925,1.3976,5.4581,1116.42
Switzerland,fulllinearmodel,3.6832,1.841,8.0174,3.2841,1.7669,6.4144,1491.72
Syria,fulllinearmodel,3.5575,1.1895,12.6816,2.5054,0.4232,10.2225,126.15
Taiwan*,fulllinearmodel,2.0273,1.1986,5.2441,0.771,0.0868,2.0704,728.39
Tanzania,fulllinearmodel,3.2845,1.3346,14.9017,2.6414,1.1856,9.8687,194.71
Thailand,fulllinearmodel,1.8601,1.1799,3.4691,1.3088,0.2119,2.9572,1122.5
Togo,fulllinearmodel,4.5429,1.3206,14.0564,2.5886,0.7478,9.8519,263.9
Trinidad and Tobago,fulllinearmodel,6.3723,1.8463,20.6912,3.952,0.9779,12.4528,288.34
Tunisia,fulllinearmodel,5.2788,1.7715,19.7556,3.4069,1.4323,9.8364,529.14
Turkey,fulllinearmodel,9.9647,3.8243,28.819,9.8944,3.8086,28.1698,1084.46
Ukraine,fulllinearmodel,6.751,2.2333,24.7075,5.8169,2.0722,18.6419,619.31
United Arab Emirates,fulllinearmodel,2.0423,1.1202,5.4975,2.1042,1.1625,4.449,958.26
United Kingdom,fulllinearmodel,2.8845,1.3184,6.7225,2.0681,0.8327,4.995,1552.1
Uruguay,fulllinearmodel,6.3031,1.826,20.7876,4.1342,1.3505,13.9269,460.44
Uzbekistan,fulllinearmodel,4.5545,1.5255,17.9534,3.149,1.4335,10.2747,464.71
Venezuela,fulllinearmodel,8.4485,2.362,24.6423,4.2219,1.2303,14.7051,378.83
West Bank and Gaza,fulllinearmodel,4.5138,1.3682,15.9936,1.7645,1.0632,3.8781,429.4
Zambia,fulllinearmodel,4.3354,1.2694,16.3098,2.338,0.2495,10.6531,201.45
Zimbabwe,fulllinearmodel,3.9311,1.2308,13.688,2.4132,0.3283,10.1508,123.39
